GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0010468	regulation of gene expression	biological_process	74	0.9210964607911173	80.33903412943569	0.0	39819	43230	0.0	True
GO:0034654	nucleobase-containing compound biosynthetic process	biological_process	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0032774	RNA biosynthetic process	biological_process	10	0.9210964607911173	10.856626233707527	0.0	39819	43230	0.0	True
GO:0006351	DNA-templated transcription	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0009059	macromolecule biosynthetic process	biological_process	47	0.9210964607911173	51.026143298425374	0.0	39819	43230	0.0	True
GO:0141187	nucleic acid biosynthetic process	biological_process	14	0.9210964607911173	15.199276727190536	0.0	39819	43230	0.0	True
GO:0006366	transcription by RNA polymerase II	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0003677	DNA binding	molecular_function	87	0.9210964607911173	94.45264823325547	0.0	39819	43230	0.0	True
GO:1990234	transferase complex	cellular_component	46	0.9210964607911173	49.94048067505462	0.0	39819	43230	0.0	True
GO:1902494	catalytic complex	cellular_component	64	0.9210964607911173	69.48240789572817	0.0	39819	43230	0.0	True
GO:0140513	nuclear protein-containing complex	cellular_component	38	0.9210964607911173	41.2551796880886	0.0	39819	43230	0.0	True
GO:0031966	mitochondrial membrane	cellular_component	19	0.9210964607911173	20.6275898440443	0.0	39819	43230	0.0	True
GO:0019866	organelle inner membrane	cellular_component	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0005743	mitochondrial inner membrane	cellular_component	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0005829	cytosol	cellular_component	33	0.9210964607911173	35.82686657123484	0.0	39819	43230	0.0	True
GO:0003690	double-stranded DNA binding	molecular_function	44	0.9210964607911173	47.76915542831312	0.0	39819	43230	0.0	True
GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function	30	0.9210964607911173	32.569878701122576	0.0	39819	43230	0.0	True
GO:0000976	transcription cis-regulatory region binding	molecular_function	40	0.9210964607911173	43.426504934830106	0.0	39819	43230	0.0	True
GO:1990837	sequence-specific double-stranded DNA binding	molecular_function	43	0.9210964607911173	46.68349280494236	0.0	39819	43230	0.0	True
GO:0001067	transcription regulatory region nucleic acid binding	molecular_function	40	0.9210964607911173	43.426504934830106	0.0	39819	43230	0.0	True
GO:0043565	sequence-specific DNA binding	molecular_function	48	0.9210964607911173	52.111805921796126	0.0	39819	43230	0.0	True
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	molecular_function	38	0.9210964607911173	41.2551796880886	0.0	39819	43230	0.0	True
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	28	0.9210964607911173	30.398553454381073	0.0	39819	43230	0.0	True
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	40	0.9210964607911173	43.426504934830106	0.0	39819	43230	0.0	True
GO:0001216	DNA-binding transcription activator activity	molecular_function	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0003700	DNA-binding transcription factor activity	molecular_function	45	0.9210964607911173	48.85481805168387	0.0	39819	43230	0.0	True
GO:0140110	transcription regulator activity	molecular_function	53	0.9210964607911173	57.54011903864989	0.0	39819	43230	0.0	True
GO:0010817	regulation of hormone levels	biological_process	25	0.9210964607911173	27.141565584268815	0.0	39819	43230	0.0	True
GO:0065008	regulation of biological quality	biological_process	42	0.9210964607911173	45.59783018157161	0.0	39819	43230	0.0	True
GO:0042446	hormone biosynthetic process	biological_process	14	0.9210964607911173	15.199276727190536	0.0	39819	43230	0.0	True
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	molecular_function	28	0.9210964607911173	30.398553454381073	0.0	39819	43230	0.0	True
GO:0008395	steroid hydroxylase activity	molecular_function	30	0.9210964607911173	32.569878701122576	0.0	39819	43230	0.0	True
GO:0004508	steroid 17-alpha-monooxygenase activity	molecular_function	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0005506	iron ion binding	molecular_function	66	0.9210964607911173	71.65373314246968	0.0	39819	43230	0.0	True
GO:0046906	tetrapyrrole binding	molecular_function	58	0.9210964607911173	62.968432155503656	0.0	39819	43230	0.0	True
GO:0020037	heme binding	molecular_function	58	0.9210964607911173	62.968432155503656	0.0	39819	43230	0.0	True
GO:0006730	one-carbon metabolic process	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0016879	ligase activity, forming carbon-nitrogen bonds	molecular_function	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
