GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0017095	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	heparan sulfate 6-sulfotransferase activity	0.3586883889649028
GO:0004502	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	kynurenine 3-monooxygenase activity	0.3586883889649028
GO:0070260	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	5'-tyrosyl-DNA phosphodiesterase activity	0.3586883889649028
GO:0141101	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	tRNA(Ser) (uridine(44)-2'-O-)-methyltransferase activity	0.3586883889649028
GO:0016303	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	1-phosphatidylinositol-3-kinase activity	0.3586883889649028
GO:0140581	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	P-type monovalent copper transporter activity	0.3586883889649028
GO:0008641	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ubiquitin-like modifier activating enzyme activity	0.3586883889649028
GO:0035255	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ionotropic glutamate receptor binding	0.3586883889649028
GO:0005220	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	inositol 1,4,5-trisphosphate-gated calcium channel activity	0.3586883889649028
GO:0004326	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	tetrahydrofolylpolyglutamate synthase activity	0.3586883889649028
GO:0106050	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	tRNA 2'-O-methyltransferase activity	0.3586883889649028
GO:0071913	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	citrate secondary active transmembrane transporter activity	0.3586883889649028
GO:0004239	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	initiator methionyl aminopeptidase activity	0.3586883889649028
GO:0043024	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ribosomal small subunit binding	0.3586883889649028
GO:0035005	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	1-phosphatidylinositol-4-phosphate 3-kinase activity	0.3586883889649028
GO:0000225	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	N-acetylglucosaminylphosphatidylinositol deacetylase activity	0.3586883889649028
GO:0004833	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	tryptophan 2,3-dioxygenase activity	0.3586883889649028
GO:0015184	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	L-cystine transmembrane transporter activity	0.3586883889649028
