GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0005788	C	4	1080	15	8571	2.1162962962962966	0.11008975645525705	2.5278810408921935	endoplasmic reticulum lumen	0.4467496102077831
GO:0005783	C	16	1080	92	8571	1.3801932367149758	0.11140497005399867	1.4671547289275821	endoplasmic reticulum	0.4467496102077831
GO:0005635	C	3	1080	10	8571	2.380833333333333	0.12162131752231042	2.9781138081973735	nuclear envelope	0.4467496102077831
GO:0016460	C	3	1080	10	8571	2.380833333333333	0.12162131752231042	2.9781138081973735	myosin II complex	0.4467496102077831
GO:0005737	C	140	1080	1015	8571	1.0946360153256705	0.12186898704127398	1.126127659574468	cytoplasm	0.4467496102077831
GO:0005604	C	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	basement membrane	0.4467496102077831
GO:0008074	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	guanylate cyclase complex, soluble	0.4467496102077831
GO:0008024	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cyclin/CDK positive transcription elongation factor complex	0.4467496102077831
GO:0032541	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cortical endoplasmic reticulum	0.4467496102077831
GO:0090694	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	Scc2-Scc4 cohesin loading complex	0.4467496102077831
GO:0071439	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	clathrin complex	0.4467496102077831
GO:0030127	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	COPII vesicle coat	0.4467496102077831
GO:0033176	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	proton-transporting V-type ATPase complex	0.4467496102077831
GO:0042721	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	TIM22 mitochondrial import inner membrane insertion complex	0.4467496102077831
GO:0016605	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	PML body	0.4467496102077831
GO:0043291	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	RAVE complex	0.4467496102077831
GO:0043541	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	UDP-N-acetylglucosamine transferase complex	0.4467496102077831
GO:0017071	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	intracellular cyclic nucleotide activated cation channel complex	0.4467496102077831
GO:0000417	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	HIR complex	0.4467496102077831
GO:0071797	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	LUBAC complex	0.4467496102077831
GO:0005587	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	collagen type IV trimer	0.4467496102077831
GO:0035658	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	Mon1-Ccz1 complex	0.4467496102077831
GO:1990811	C	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	MWP complex	0.4467496102077831
